actual x,atcual y,pred x,pred y,distance
1,1,1.000032076,0.999993453,3.27E-05
2,1,1.000025048,1.000047322,0.999974953
3,1,3.500007751,1.50000036,0.707112517
4,1,5.999937949,2.00000976,2.236016843
5,1,5.999959005,1.999989216,1.414176949
6,1,5.999961998,2.00000801,1.00000801
1,2,1.000028364,1.000019854,0.999980146
2,2,2.076076332,1.596087556,0.411014441
3,2,3.830823793,1.978829397,0.831093478
4,2,5.999934694,2.000057317,1.999934695
5,2,5.999984337,2.000024755,0.999984337
6,2,5.999966511,1.999994835,3.39E-05
1,3,1.934757943,2.287215849,1.17551421
2,3,1.546251639,4.191290015,1.274778206
3,3,3.213486401,4.508790554,1.523819339
4,3,5.37435742,3.997468273,1.698175867
5,3,6.000074178,2.000054688,1.414227347
6,3,7.50000128,3.00000204,1.50000128
1,4,1.618431227,3.914320268,0.624338209
2,4,1.000056064,5.999983459,2.23602811
3,4,1.000161258,5.999877708,2.828226625
4,4,5.999877783,2.000099679,2.828270221
5,4,6.000050605,2.000139135,2.235966165
6,4,8.999892189,4.000022628,2.999892189
7,4,8.99991297,4.00000162,1.99991297
8,4,7.50000128,3.00000204,1.118031592
9,4,8.999963881,3.999983266,3.98E-05
1,5,1.000050833,5.999951544,0.999951545
2,5,1.000060449,5.999932543,1.41412312
3,5,1.00009858,5.999955392,2.235959855
4,5,4.958682269,3.103055204,2.125434368
5,5,6.822849036,2.37584217,3.195149907
6,5,7.50000128,3.00000204,2.499999136
7,5,7.50000128,3.00000204,2.061551144
8,5,8.999929733,3.999951619,1.414198089
9,5,9.000021477,3.999981579,1.000018421
1,6,1.000027408,5.999955119,5.26E-05
2,6,1.000049965,5.999969286,0.999950036
3,6,1.000055738,5.999958639,1.999944262
5,6,4.128201897,4.877684164,1.421135028
1,1,1.000051741,1.00000617,5.21E-05
2,1,1.000050846,1.000040169,0.999949154
3,1,1.640621578,1.239379795,1.380294309
4,1,5.046982149,3.291099388,2.518989485
5,1,5.999994041,2.000039249,1.414237102
6,1,6.000009161,1.999975025,0.999975025
6,2,5.999940877,2.000046884,7.55E-05
5,2,5.999944506,2.00005336,0.999944508
4,2,5.999879622,1.999976181,1.999879623
3,2,1.614019218,1.296188299,1.554443193
2,2,1.000063424,1.000029365,1.414147951
1,2,1.000037071,1.000014489,0.999985511
1,3,1.268127901,2.502315086,0.565316588
2,3,3.267674533,2.435482522,1.38768826
3,3,4.442676487,3.939631741,1.721691975
4,3,6.15751323,2.002955877,2.376754156
5,3,5.999955169,2.000022949,1.414165635
6,3,7.50000128,3.00000204,1.50000128
9,4,8.999960527,3.999981608,4.35E-05
8,4,7.50000128,3.00000204,1.118031592
7,4,6.000041972,2.00006767,2.235988681
6,4,5.999993094,2.000074634,1.999925367
5,4,5.999762322,2.000193627,2.235788503
4,4,6.000000099,2.000061508,2.828383702
3,4,1.000121913,5.999912721,2.828279203
2,4,1.000085858,5.999939415,2.235975393
1,4,1.242019303,4.997505716,1.026445807
1,5,1.000013238,5.999916739,0.999916739
2,5,3.265911983,3.802949351,1.742258133
3,5,6.595584369,1.500858677,5.017192138
4,5,5.763630993,3.196840933,2.522256311
5,5,6.922604539,2.316630074,3.301042619
6,5,7.50000128,3.00000204,2.499999136
7,5,7.50000128,3.00000204,2.061551144
8,5,9.000035903,3.999999249,1.414239481
9,5,8.999923876,3.99996184,1.000038163
5,6,3.708879061,5.029844759,1.614990548
3,6,1.00004394,5.999956871,1.99995606
2,6,1.000031452,5.999975163,0.999968548
1,6,1.000034248,5.999966096,4.82E-05
Average distance,1.541924537,,,
